Karst Landscape Evolution and Speleogenesis

KarstModel.inputdata() is over.

KarstModel.generate_fracture() is over

KarstModel.ConnectedFracture() is over

用时(s): 2

 numit original   2  qqbudget original 1.04341e-16
 numit01   2 errmax01  8.25285e-14  qqbudget01  -1.66533e-16
 numit01   2 errmax01  1.80238e-12  qqbudget01  1.94289e-16
 numit01   2 errmax01  1.89055e-12  qqbudget01  1.94289e-16
 numit01   2 errmax01  1.31057e-12  qqbudget01  1.11022e-16
 numit01   2 errmax01  7.3786e-13  qqbudget01  -1.94289e-16
 numit01   2 errmax01  5.10284e-13  qqbudget01  1.66533e-16
 numit01   2 errmax01  2.44833e-12  qqbudget01  -1.66533e-16
 numit01   2 errmax01  2.82844e-12  qqbudget01  -2.498e-16
 numit01   2 errmax01  8.27215e-12  qqbudget01  2.77556e-17
 numit01   2 errmax01  4.74822e-12  qqbudget01  2.77556e-16
 numit01   2 errmax01  2.57216e-12  qqbudget01  2.77556e-17
 numit01   2 errmax01  4.1143e-12  qqbudget01  0
 numit01   2 errmax01  2.00402e-12  qqbudget01  -8.32667e-17
 numit01   2 errmax01  7.07171e-13  qqbudget01  3.88578e-16
 numit01   2 errmax01  3.28589e-12  qqbudget01  2.498e-16
